POST,GROUP_ID,GROUP_TIME,SLICE_TIME
InformationItem_has_no,15_40/008,0,0
ReadLinkObjectEndAction_ends_of_association,15_40/009,0,0
LinkAction_not_static,15_40/010,0,0
StringExpression_operands,15_40/011,0,0
Behavior_feature_of_context_classifier,15_40/012,0,0
CommunicationPath_association_ends,15_40/013,0,0
Component_no_nested_classifiers,15_40/014,0,0
ClassifierTemplateParameter_has_constraining_classifier,15_40/015,0,0
CreateObjectAction_classifier_not_abstract,15_40/016,0,0
CreateObjectAction_classifier_not_association_class,15_40/017,0,0
InformationFlow_convey_classifiers,15_40/018,0,0
ActionInputPin_one_output_pin,15_40/019,0,0
ActionInputPin_input_pin,15_40/020,0,0
AcceptCallAction_unmarshall,16_43/000,180000,8665
InformationItem_not_instantiable,16_43/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,16_43/000,180000,8261
Parameter_stream_and_exception,16_43/000,180000,7871
FinalState_no_regions,16_43/000,180000,9209
Reception_same_name_as_signal,16_43/000,180000,10755
State_submachine_or_regions,16_43/000,180000,10489
ActivityParameterNode_has_parameters,16_43/000,180000,17710
ActivityParameterNode_no_edges,16_43/000,180000,9099
DecisionNode_decision_input_flow_incoming,16_43/000,180000,14336
State_submachine_states,16_43/000,180000,11727
State_composite_states,16_43/000,180000,11710
Extend_extension_points,16_43/001,180000,35007
FinalState_no_outgoing_transitions,16_43/001,180000,9802
ForkNode_one_incoming_edge,16_43/001,180000,9369
InitialNode_no_incoming_edges,16_43/001,180000,9087
InitialNode_control_edges,16_43/001,180000,9606
JoinNode_one_outgoing_edge,16_43/001,180000,9615
MergeNode_one_outgoing_edge,16_43/001,180000,9612
Property_derived_union_is_read_only,16_43/001,180000,10798
Property_derived_union_is_derived,16_43/001,180000,11250
Property_subsetted_property_names,16_43/001,180000,11304
ValuePin_no_incoming_edges,16_43/002,23392.83333,9483
AcceptEventAction_no_output_pins,16_43/002,23392.83333,10286
CallAction_synchronous_call,16_43/002,23392.83333,13167
ConditionalNode_no_input_pins,16_43/002,23392.83333,10693
Pin_not_unique,16_43/002,23392.83333,12851
AcceptEventAction_no_input_pins,16_43/002,23392.83333,13143
Enumeration_immutable,16_43/003,6098.25,12075
Extension_is_binary,16_43/003,6098.25,10632
FinalNode_no_outgoing_edges,16_43/003,6098.25,10893
Pin_control_pins,16_43/003,6098.25,13351
Node_internal_structure,16_43/004,180000,70589
StructuralFeatureAction_not_static,16_43/004,180000,86122
State_destinations_or_sources_of_transitions,16_43/005,180000,180000
BehavioralFeature_abstract_no_method,16_43/005,180000,34790
ExecutionSpecification_same_lifeline,16_43/006,180000,52077
InformationItem_has_no,16_43/006,180000,11769
ReadLinkObjectEndAction_ends_of_association,16_43/007,0,0
LinkAction_not_static,16_43/008,0,0
StringExpression_operands,16_43/009,0,0
Behavior_feature_of_context_classifier,16_43/010,0,0
CommunicationPath_association_ends,16_43/011,0,0
Component_no_nested_classifiers,16_43/012,0,0
ClassifierTemplateParameter_has_constraining_classifier,16_43/013,0,0
CreateObjectAction_classifier_not_abstract,16_43/014,0,0
CreateObjectAction_classifier_not_association_class,16_43/015,0,0
InformationFlow_convey_classifiers,16_43/016,0,0
ActionInputPin_one_output_pin,16_43/017,0,0
ActionInputPin_input_pin,16_43/018,0,0
AcceptCallAction_unmarshall,17_45/000,180000,8665
InformationItem_not_instantiable,17_45/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,17_45/000,180000,8261
Parameter_stream_and_exception,17_45/000,180000,7871
FinalState_no_regions,17_45/000,180000,9209
Reception_same_name_as_signal,17_45/000,180000,10755
State_submachine_or_regions,17_45/000,180000,10489
ActivityParameterNode_has_parameters,17_45/000,180000,17710
ActivityParameterNode_no_edges,17_45/000,180000,9099
DecisionNode_decision_input_flow_incoming,17_45/000,180000,14336
Extend_extension_points,17_45/000,180000,35007
FinalState_no_outgoing_transitions,17_45/001,180000,9802
ForkNode_one_incoming_edge,17_45/001,180000,9369
InitialNode_no_incoming_edges,17_45/001,180000,9087
InitialNode_control_edges,17_45/001,180000,9606
JoinNode_one_outgoing_edge,17_45/001,180000,9615
MergeNode_one_outgoing_edge,17_45/001,180000,9612
Property_derived_union_is_read_only,17_45/001,180000,10798
Property_derived_union_is_derived,17_45/001,180000,11250
Property_subsetted_property_names,17_45/001,180000,11304
State_submachine_states,17_45/001,180000,11727
State_composite_states,17_45/002,180000,11710
ValuePin_no_incoming_edges,17_45/002,180000,9483
AcceptEventAction_no_output_pins,17_45/002,180000,10286
CallAction_synchronous_call,17_45/002,180000,13167
ConditionalNode_no_input_pins,17_45/002,180000,10693
Enumeration_immutable,17_45/003,5472.333333,12075
Extension_is_binary,17_45/003,5472.333333,10632
FinalNode_no_outgoing_edges,17_45/003,5472.333333,10893
Pin_control_pins,17_45/003,5472.333333,13351
Pin_not_unique,17_45/003,5472.333333,12851
AcceptEventAction_no_input_pins,17_45/003,5472.333333,13143
Node_internal_structure,17_45/004,180000,70589
StructuralFeatureAction_not_static,17_45/004,180000,86122
State_destinations_or_sources_of_transitions,17_45/005,180000,180000
BehavioralFeature_abstract_no_method,17_45/005,180000,34790
ExecutionSpecification_same_lifeline,17_45/006,180000,52077
InformationItem_has_no,17_45/006,180000,11769
ReadLinkObjectEndAction_ends_of_association,17_45/007,0,0
LinkAction_not_static,17_45/008,0,0
StringExpression_operands,17_45/009,0,0
Behavior_feature_of_context_classifier,17_45/010,0,0
CommunicationPath_association_ends,17_45/011,0,0
Component_no_nested_classifiers,17_45/012,0,0
ClassifierTemplateParameter_has_constraining_classifier,17_45/013,0,0
CreateObjectAction_classifier_not_abstract,17_45/014,0,0
CreateObjectAction_classifier_not_association_class,17_45/015,0,0
InformationFlow_convey_classifiers,17_45/016,0,0
ActionInputPin_one_output_pin,17_45/017,0,0
ActionInputPin_input_pin,17_45/018,0,0
AcceptCallAction_unmarshall,18_48/000,180000,8665
InformationItem_not_instantiable,18_48/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,18_48/000,180000,8261
Parameter_stream_and_exception,18_48/000,180000,7871
FinalState_no_regions,18_48/000,180000,9209
Reception_same_name_as_signal,18_48/000,180000,10755
State_submachine_or_regions,18_48/000,180000,10489
ActivityParameterNode_has_parameters,18_48/000,180000,17710
ActivityParameterNode_no_edges,18_48/000,180000,9099
DecisionNode_decision_input_flow_incoming,18_48/000,180000,14336
Extend_extension_points,18_48/000,180000,35007
ValuePin_no_incoming_edges,18_48/000,180000,9483
FinalState_no_outgoing_transitions,18_48/001,4245.454545,9802
